molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type
CHEMBL356309,Fc1ccc(-c2[nH]c(/C=C/c3ccccc3)nc2-c2ccncc2)cc1,6500.0,nM,IC50
CHEMBL356309,Fc1ccc(-c2[nH]c(/C=C/c3ccccc3)nc2-c2ccncc2)cc1,130.0,nM,IC50
CHEMBL90475,S=C(Nc1cccc(Cl)c1)N1CCC(c2cccc(Br)c2)=N1,1000.0,nM,IC50
CHEMBL321164,NC(Cc1cnnn1O)C(=O)O,150.0,nM,IC50
CHEMBL321164,NC(Cc1cnnn1O)C(=O)O,47000.0,nM,IC50
CHEMBL321164,NC(Cc1cnnn1O)C(=O)O,93000.0,nM,IC50
CHEMBL321164,NC(Cc1cnnn1O)C(=O)O,100000.0,nM,IC50
CHEMBL321164,NC(Cc1cnnn1O)C(=O)O,300000.0,nM,IC50
CHEMBL133897,CCOc1nn(-c2cccc(OCc3ccccc3)c2)c(=O)o1,1100.0,nM,IC50
CHEMBL133897,CCOc1nn(-c2cccc(OCc3ccccc3)c2)c(=O)o1,920.0,nM,IC50
CHEMBL133897,CCOc1nn(-c2cccc(OCc3ccccc3)c2)c(=O)o1,750.0,nM,IC50
CHEMBL133897,CCOc1nn(-c2cccc(OCc3ccccc3)c2)c(=O)o1,15000.0,nM,IC50
CHEMBL76913,O=C([O-])Cc1cc(Cl)ccc1Nc1c(Cl)cccc1Cl.[Na+],794328234.72,nM,IC50
CHEMBL76084,Cc1cccc(Cl)c1Nc1ccccc1CC(=O)O,1000000000.0,nM,IC50
CHEMBL36108,O=C(O)CN(c1ccccc1)S(=O)(=O)c1ccc(NC(=O)c2ccccc2)cc1,380.0,nM,IC50
CHEMBL76979,COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O,264000.0,nM,IC50
CHEMBL76589,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,125.0,nM,IC50
CHEMBL76904,N#CC(C#N)=Cc1ccc(O)c(O)c1,35000.0,nM,IC50
CHEMBL1009,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,900000.0,nM,IC50
CHEMBL146140,NC(=O)[C@@H]1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)[C@H](CN2CCCC2)C1,1200.0,nM,IC50
CHEMBL56536,CCN1C(=O)Cc2cc(CCN3CCN(c4cccc5ccccc45)CC3)ccc21,81.2,nM,IC50
CHEMBL56536,CCN1C(=O)Cc2cc(CCN3CCN(c4cccc5ccccc45)CC3)ccc21,248.0,nM,IC50
CHEMBL56536,CCN1C(=O)Cc2cc(CCN3CCN(c4cccc5ccccc45)CC3)ccc21,2.9,nM,IC50
CHEMBL37420,O=C(O)CNS(=O)(=O)c1ccccc1[N+](=O)[O-],13000.0,nM,IC50
CHEMBL297219,CC(C)C1NC(=O)C2N=C(OC2C)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)c2csc(n2)C(Cc2ccccc2)NC(=O)C2CSC1=N2,6.0,ug.mL-1,IC50
CHEMBL297219,CC(C)C1NC(=O)C2N=C(OC2C)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)c2csc(n2)C(Cc2ccccc2)NC(=O)C2CSC1=N2,1.0,ug.mL-1,IC50
CHEMBL297219,CC(C)C1NC(=O)C2N=C(OC2C)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)c2csc(n2)C(Cc2ccccc2)NC(=O)C2CSC1=N2,8.0,ug.mL-1,IC50
CHEMBL301347,CCCC[C@H](O[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](NC(=O)OCCN1CCCC1)C(C)C,2.5,nM,IC50
CHEMBL301347,CCCC[C@H](O[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](NC(=O)OCCN1CCCC1)C(C)C,13.0,nM,IC50
CHEMBL48624,CCCC[C@H](O[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)NCCCN1CCOCC1)C(C)C,2.4,nM,IC50
CHEMBL48624,CCCC[C@H](O[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)NCCCN1CCOCC1)C(C)C,2.8,nM,IC50
CHEMBL48624,CCCC[C@H](O[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)NCCCN1CCOCC1)C(C)C,1.5,nM,IC50
CHEMBL112904,CNc1nc(Br)cn2cc(C#N)nc12,70000.0,nM,IC50
CHEMBL146682,COC(=O)/C=C1\CCN(CC2CCCCN2C(=O)Cc2ccc(Cl)c(Cl)c2)C1,1020.0,nM,IC50
CHEMBL292779,Fc1cccc(CCN2CCN(CCCc3c[nH]c4ccc(-n5cnnc5)cc34)CC2)c1,0.6,nM,IC50
CHEMBL2112947,COC(=O)[C@@H]1C2CC[C@H](C[C@H]1OC(=O)c1ccc3ccccc3c1)N2C,327.0,nM,IC50
CHEMBL2112947,COC(=O)[C@@H]1C2CC[C@H](C[C@H]1OC(=O)c1ccc3ccccc3c1)N2C,813.0,nM,IC50
CHEMBL2303882,O=C(O)COc1cccc(-c2ccc(CCCCCCc3ccc(O[C@H]4O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]4O)c(-c4cccc(OCC(=O)O)c4)c3)cc2O[C@H]2O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]2O)c1,3200000.0,nM,IC50
CHEMBL2303882,O=C(O)COc1cccc(-c2ccc(CCCCCCc3ccc(O[C@H]4O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]4O)c(-c4cccc(OCC(=O)O)c4)c3)cc2O[C@H]2O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]2O)c1,540000.0,nM,IC50
CHEMBL2303882,O=C(O)COc1cccc(-c2ccc(CCCCCCc3ccc(O[C@H]4O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]4O)c(-c4cccc(OCC(=O)O)c4)c3)cc2O[C@H]2O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]2O)c1,1400000.0,nM,IC50
CHEMBL273264,N=C(N)Nc1ccc(C(=O)Oc2ccc3cc(C(=N)N)ccc3c2)cc1,12000.0,nM,IC50
CHEMBL273264,N=C(N)Nc1ccc(C(=O)Oc2ccc3cc(C(=N)N)ccc3c2)cc1,12000.0,nM,IC50
CHEMBL273264,N=C(N)Nc1ccc(C(=O)Oc2ccc3cc(C(=N)N)ccc3c2)cc1,17.0,nM,IC50
CHEMBL3142655,COc1cc(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C(c2ccccc2)c2ccccc2)cc(OC)c1,50.0,nM,IC50
CHEMBL297008,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccccc1,60.0,nM,IC50
CHEMBL289813,Cc1c(C=O)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,3230.0,nM,IC50
CHEMBL113741,Cc1cc(C(=O)N[C@@H](CC(F)C(=O)O)C(=O)O)sc1N(C)Cc1cnc2nc(N)nc(N)c2n1,0.0115,ug.mL-1,IC50
CHEMBL113741,Cc1cc(C(=O)N[C@@H](CC(F)C(=O)O)C(=O)O)sc1N(C)Cc1cnc2nc(N)nc(N)c2n1,0.0149,ug.mL-1,IC50
CHEMBL423558,COc1cc(CCC2CNc3nc(N)nc(N)c3C2)cc(OC)c1OC,61700.0,nM,IC50
CHEMBL423558,COc1cc(CCC2CNc3nc(N)nc(N)c3C2)cc(OC)c1OC,470.0,nM,IC50
CHEMBL423558,COc1cc(CCC2CNc3nc(N)nc(N)c3C2)cc(OC)c1OC,6100.0,nM,IC50
CHEMBL2111248,C[C@H]1C[C@@H](n2ncc3c(N)ncnc32)[C@H](O)[C@@H]1O,12200.0,nM,IC50
CHEMBL2111248,C[C@H]1C[C@@H](n2ncc3c(N)ncnc32)[C@H](O)[C@@H]1O,16800.0,nM,IC50
CHEMBL2111248,C[C@H]1C[C@@H](n2ncc3c(N)ncnc32)[C@H](O)[C@@H]1O,14000.0,nM,IC50
CHEMBL164930,N#CCCc1c(-c2ccccc2)c(O)nc2cc(Cl)ccc12,750.0,nM,IC50
CHEMBL167201,CN(C)CCNc1c(-c2ccccc2)c(O)nc2cc(Cl)ccc12,3200.0,nM,IC50
CHEMBL66457,CC(C)(O)CC[C@H](C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C(N)=O,580.0,nM,IC50
CHEMBL66457,CC(C)(O)CC[C@H](C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C(N)=O,1180.0,nM,IC50
CHEMBL304053,CC(C)(O)CCC(C[C@H](O)[C@H](Cc1ccccc1F)NC(=O)c1cnc2ccccc2n1)C(N)=O,52.0,nM,IC50
CHEMBL304053,CC(C)(O)CCC(C[C@H](O)[C@H](Cc1ccccc1F)NC(=O)c1cnc2ccccc2n1)C(N)=O,680.0,nM,IC50
CHEMBL330621,Cc1ccc(Nc2ncc(-c3ccccc3)s2)nc1,19.0,nM,IC50
CHEMBL323957,Oc1ccccc1-c1nc2c(-c3nc4ccccc4o3)cccc2o1,20000.0,nM,IC50
CHEMBL323957,Oc1ccccc1-c1nc2c(-c3nc4ccccc4o3)cccc2o1,20000.0,nM,IC50
CHEMBL419009,COc1ccc(-c2nc3cc(-c4cccc(F)c4)ccc3o2)cc1N1C(=O)c2ccc(C(=O)O)cc2C1=O,1000.0,nM,IC50
CHEMBL114134,COc1ccc(-c2nc3cc(-c4cccc(Cl)c4)ccc3o2)cc1N1C(=O)c2ccc(C(=O)O)cc2C1=O,600.0,nM,IC50
CHEMBL114134,COc1ccc(-c2nc3cc(-c4cccc(Cl)c4)ccc3o2)cc1N1C(=O)c2ccc(C(=O)O)cc2C1=O,7000.0,nM,IC50
CHEMBL112849,COc1ccc(-c2nc3cc(-c4ccc(OC(F)(F)F)cc4)ccc3o2)cc1N1C(=O)c2ccc(C(=O)O)cc2C1=O,400.0,nM,IC50
CHEMBL112849,COc1ccc(-c2nc3cc(-c4ccc(OC(F)(F)F)cc4)ccc3o2)cc1N1C(=O)c2ccc(C(=O)O)cc2C1=O,20000.0,nM,IC50
CHEMBL112771,COCCNc1ccc(N2C(=O)c3ccc(C(=O)O)cc3C2=O)cc1-c1nc2cc(-c3cc(F)cc(F)c3)ccc2o1,3000.0,nM,IC50
CHEMBL153102,Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4ccccc4)CC3)ccc2s1,10000.0,nM,IC50
CHEMBL153426,Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4cccc5ccccc45)CC3)ccc2s1,105.0,nM,IC50
CHEMBL347797,Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)N[C@H]4CCc5ccccc54)CC3)ccc2s1,2200.0,nM,IC50
CHEMBL352106,CCCCCCCCCCC[C@H]1CC[C@H]([C@H]2CC[C@H](CCCCCCCCCCCCCC3=C[C@H](C)OC3=O)O2)O1,85.0,nM,IC50
CHEMBL114758,COc1ccc(/N=C2/C(=O)c3cncnc3C(O)=C2Cl)c(OC)c1,2020.0,nM,IC50
CHEMBL114758,COc1ccc(/N=C2/C(=O)c3cncnc3C(O)=C2Cl)c(OC)c1,1070.0,nM,IC50
CHEMBL114758,COc1ccc(/N=C2/C(=O)c3cncnc3C(O)=C2Cl)c(OC)c1,610.0,nM,IC50
CHEMBL337921,Cc1cc(NC(=O)Cc2ccc3[nH]c(-c4ccc(Cl)s4)nc3c2)ccc1-n1ccccc1=O,180.0,nM,IC50
CHEMBL340500,Cc1cc(NC(=O)Cc2ccc3[nH]c(-c4ccc(Cl)s4)nc3c2)ccc1N1CCOCC1=O,120.0,nM,IC50
CHEMBL8234,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)O,246.0,nM,IC50
